Cikkszám,asd,Termék Név,Rövid Leírás,Tulajdonságok,Paraméter: Kategória||text,Paraméter: Márka||text,Paraméter: Fit||text,Paraméter: Méretek||textmore,Paraméter: Válasszon méretet||text,Paraméter: Szín||text,Paraméter: Nem||text,Paraméter: Anyag||text,Paraméter: EAN||text,Paraméter: VTSZ||text,Paraméter: Méret||text,Paraméter: Típus||text,Paraméter: Rugalmasság||text,Paraméter: Controller||text,Paraméter: Vízállóság||text,Paraméter: Íz||text
BL_PZ_BU2747854_3XL,1,Burberry Men Light Brown Sweatshirt bu2747854,Cikkszám: BL_PZ_BU2747854_3XL,"burberry male collar, long sleeve top sleeve, small embroidered logo on the chest, plaid inset on buttons, sweater",sweater,BURBERRY,,3XL,3XL,light brown,Men,100% cotton,,,3XL,,,,,
BL_PZ_BU2986702,3,burberry man with red long sleeve shirt bu2986702,,"burberry men's long sleeve shirt with small embroidered logo on the breast, folded checkered cuff, rounded bottom",shirt,BURBERRY,,,,red,Men,100% cotton,,,,,,,,
BL_PZ_BU2986702_XL,1,burberry man with red long sleeve shirt bu2986702,Cikkszám: BL_PZ_BU2986702_XL,"burberry men's long sleeve shirt with small embroidered logo on the breast, folded checkered cuff, rounded bottom",shirt,BURBERRY,,XL,XL,red,Men,100% cotton,,,XL,,,,,
BL_PZ_BU4181307,3,Burberry Men's Lightweight Short Sleeve Top Bu4181307,,"burberry men's collar, buttoned, buttoned checkered pattern, short sleeve top embroidered logo, t-shirt",short sleeve top,BURBERRY,,,,light gray,Men,100% cotton,,,,,,,,
BL_PZ_BU4181307_L,1,Burberry Men's Lightweight Short Sleeve Top Bu4181307,Cikkszám: BL_PZ_BU4181307_L,"burberry men's collar, buttoned, buttoned checkered pattern, short sleeve top embroidered logo, t-shirt",short sleeve top,BURBERRY,,L,L,light gray,Men,100% cotton,,,L,,,,,
BL_PZ_BU4181307_XL,1,Burberry Men's Lightweight Short Sleeve Top Bu4181307,Cikkszám: BL_PZ_BU4181307_XL,"burberry men's collar, buttoned, buttoned checkered pattern, short sleeve top embroidered logo, t-shirt",short sleeve top,BURBERRY,,XL,XL,light gray,Men,100% cotton,,,XL,,,,,
BL_PZ_BU5357843,3,burberry men's light blue short sleeve top bu5357843,,"burberry men's collar, buttoned, buttoned checkered pattern, short sleeve top embroidered logo, t-shirt",short sleeve top,BURBERRY,,,,light blue,Men,100% cotton,,,,,,,,
BL_PZ_BU5357843_XL,1,burberry men's light blue short sleeve top bu5357843,Cikkszám: BL_PZ_BU5357843_XL,"burberry men's collar, buttoned, buttoned checkered pattern, short sleeve top embroidered logo, t-shirt",short sleeve top,BURBERRY,,XL,XL,light blue,Men,100% cotton,,,XL,,,,,
BL_PZ_BU6074795,3,Burberry Men's Purple Short Sleeve Top Bu6074795,,"burberry men's collar, buttoned, buttoned checkered pattern, short sleeve top embroidered logo, t-shirt",short sleeve top,BURBERRY,,,,purple,Men,100% cotton,,,,,,,,
BL_PZ_BU6074795_L,1,Burberry Men's Purple Short Sleeve Top Bu6074795,Cikkszám: BL_PZ_BU6074795_L,"burberry men's collar, buttoned, buttoned checkered pattern, short sleeve top embroidered logo, t-shirt",short sleeve top,BURBERRY,,L,L,purple,Men,100% cotton,,,L,,,,,
BL_PZ_BU7406780,3,burberry men's filter short sleeve top bu7406780,,"burberry men's collar, buttoned, buttoned checkered pattern, short sleeve top embroidered logo, t-shirt",short sleeve top,BURBERRY,,,,gray,Men,100% cotton,,,,,,,,
BL_PZ_BU7406780_L,1,burberry men's filter short sleeve top bu7406780,Cikkszám: BL_PZ_BU7406780_L,"burberry men's collar, buttoned, buttoned checkered pattern, short sleeve top embroidered logo, t-shirt",short sleeve top,BURBERRY,,L,L,gray,Men,100% cotton,,,L,,,,,
BL_PZ_BU7406780_M,1,burberry men's filter short sleeve top bu7406780,Cikkszám: BL_PZ_BU7406780_M,"burberry men's collar, buttoned, buttoned checkered pattern, short sleeve top embroidered logo, t-shirt",short sleeve top,BURBERRY,,M,M,gray,Men,100% cotton,,,M,,,,,
BL_PZ_BU7406780_XL,1,burberry men's filter short sleeve top bu7406780,Cikkszám: BL_PZ_BU7406780_XL,"burberry men's collar, buttoned, buttoned checkered pattern, short sleeve top embroidered logo, t-shirt",short sleeve top,BURBERRY,,XL,XL,gray,Men,100% cotton,,,XL,,,,,
BL_PZ_BU9177667,3,burberry female filter scarf bu9177667,,burberry women in striped pattern scarf,slag,BURBERRY,,,,gray,Women,100% silk,,,,,,,,
BL_PZ_BU9177667_M,1,burberry female filter scarf bu9177667,Cikkszám: BL_PZ_BU9177667_M,burberry women in striped pattern scarf,slag,BURBERRY,,M,M,gray,Women,100% silk,,,M,,,,,
BL_PZ_BU9974527,3,burberry female black scarf bu9974527,,burberry women in striped pattern scarf,slag,BURBERRY,,,,black,Women,100% silk,,,,,,,,
BL_PZ_BU9974527_M,1,burberry female black scarf bu9974527,Cikkszám: BL_PZ_BU9974527_M,burberry women in striped pattern scarf,slag,BURBERRY,,M,M,black,Women,100% silk,,,M,,,,,
BL_PZ_CA107918,3,calvin klein female filter set ca107918,,"calvin klein lingerie, brace without braces and french panties",set,CALVIN KLEIN,,,,gray,Women,53% cotton 35% other 12% elastane,,,,,,,,
BL_PZ_CA107918_M,1,calvin klein female filter set ca107918,Cikkszám: BL_PZ_CA107918_M,"calvin klein lingerie, brace without braces and french panties",set,CALVIN KLEIN,,M,M,gray,Women,53% cotton 35% other 12% elastane,,,M,,,,,
BL_PZ_CA107918_S,1,calvin klein female filter set ca107918,Cikkszám: BL_PZ_CA107918_S,"calvin klein lingerie, brace without braces and french panties",set,CALVIN KLEIN,,S,S,gray,Women,53% cotton 35% other 12% elastane,,,S,,,,,
BL_PZ_CA107918_XL,1,calvin klein female filter set ca107918,Cikkszám: BL_PZ_CA107918_XL,"calvin klein lingerie, brace without braces and french panties",set,CALVIN KLEIN,,XL,XL,gray,Women,53% cotton 35% other 12% elastane,,,XL,,,,,
BL_PZ_CA107918_XS,1,calvin klein female filter set ca107918,Cikkszám: BL_PZ_CA107918_XS,"calvin klein lingerie, brace without braces and french panties",set,CALVIN KLEIN,,XS,XS,gray,Women,53% cotton 35% other 12% elastane,,,XS,,,,,
BL_PZ_CA1156091,3,calvin klein male black boxer ca1156091,,"calvin klein men's underwear, brand name inscription, 3 pcs, boxer",boxer,CALVIN KLEIN,,,,black,Men,100% cotton,,,,,,,,
BL_PZ_CA1156091_L,1,calvin klein male black boxer ca1156091,Cikkszám: BL_PZ_CA1156091_L,"calvin klein men's underwear, brand name inscription, 3 pcs, boxer",boxer,CALVIN KLEIN,,L,L,black,Men,100% cotton,,,L,,,,,
BL_PZ_CA1156091_M,1,calvin klein male black boxer ca1156091,Cikkszám: BL_PZ_CA1156091_M,"calvin klein men's underwear, brand name inscription, 3 pcs, boxer",boxer,CALVIN KLEIN,,M,M,black,Men,100% cotton,,,M,,,,,
BL_PZ_CA1156091_S,1,calvin klein male black boxer ca1156091,Cikkszám: BL_PZ_CA1156091_S,"calvin klein men's underwear, brand name inscription, 3 pcs, boxer",boxer,CALVIN KLEIN,,S,S,black,Men,100% cotton,,,S,,,,,
BL_PZ_CA1156091_XL,1,calvin klein male black boxer ca1156091,Cikkszám: BL_PZ_CA1156091_XL,"calvin klein men's underwear, brand name inscription, 3 pcs, boxer",boxer,CALVIN KLEIN,,XL,XL,black,Men,100% cotton,,,XL,,,,,
BL_PZ_CA1239951,3,calvin klein male white boxer ca1239951,,"calvin klein men's underwear, brand name inscription, 3 pcs, boxer",boxer,CALVIN KLEIN,,,,white,Men,100% cotton,,,,,,,,
BL_PZ_CA1239951_L,1,calvin klein male white boxer ca1239951,Cikkszám: BL_PZ_CA1239951_L,"calvin klein men's underwear, brand name inscription, 3 pcs, boxer",boxer,CALVIN KLEIN,,L,L,white,Men,100% cotton,,,L,,,,,
BL_PZ_CA1239951_M,1,calvin klein male white boxer ca1239951,Cikkszám: BL_PZ_CA1239951_M,"calvin klein men's underwear, brand name inscription, 3 pcs, boxer",boxer,CALVIN KLEIN,,M,M,white,Men,100% cotton,,,M,,,,,
BL_PZ_CA1239951_S,1,calvin klein male white boxer ca1239951,Cikkszám: BL_PZ_CA1239951_S,"calvin klein men's underwear, brand name inscription, 3 pcs, boxer",boxer,CALVIN KLEIN,,S,S,white,Men,100% cotton,,,S,,,,,
BL_PZ_CA1239951_XL,1,calvin klein male white boxer ca1239951,Cikkszám: BL_PZ_CA1239951_XL,"calvin klein men's underwear, brand name inscription, 3 pcs, boxer",boxer,CALVIN KLEIN,,XL,XL,white,Men,100% cotton,,,XL,,,,,
BL_PZ_CA1488879,3,"calvin klein female white, red filter thong ca1488879",,calvin klein female thong 3db,thong,CALVIN KLEIN,,,,"white, red, gray",Women,93% cotton 7% lycra,,,,,,,,
BL_PZ_CA1488879_L,1,"calvin klein female white, red filter thong ca1488879",Cikkszám: BL_PZ_CA1488879_L,calvin klein female thong 3db,thong,CALVIN KLEIN,,L,L,"white, red, gray",Women,93% cotton 7% lycra,,,L,,,,,
BL_PZ_CA1488879_M,1,"calvin klein female white, red filter thong ca1488879",Cikkszám: BL_PZ_CA1488879_M,calvin klein female thong 3db,thong,CALVIN KLEIN,,M,M,"white, red, gray",Women,93% cotton 7% lycra,,,M,,,,,
BL_PZ_CA1488879_S,1,"calvin klein female white, red filter thong ca1488879",Cikkszám: BL_PZ_CA1488879_S,calvin klein female thong 3db,thong,CALVIN KLEIN,,S,S,"white, red, gray",Women,93% cotton 7% lycra,,,S,,,,,
BL_PZ_CA1488879_XL,1,"calvin klein female white, red filter thong ca1488879",Cikkszám: BL_PZ_CA1488879_XL,calvin klein female thong 3db,thong,CALVIN KLEIN,,XL,XL,"white, red, gray",Women,93% cotton 7% lycra,,,XL,,,,,
BL_PZ_CA1488879_XS,1,"calvin klein female white, red filter thong ca1488879",Cikkszám: BL_PZ_CA1488879_XS,calvin klein female thong 3db,thong,CALVIN KLEIN,,XS,XS,"white, red, gray",Women,93% cotton 7% lycra,,,XS,,,,,
BL_PZ_CA1696576,3,calvin klein male black boxer ca1696576,,"calvin klein men's underpants with red edge brand name inscription in box 3 pcs, boxer",boxer,CALVIN KLEIN,,,,black,Men,100% cotton,,,,,,,,
BL_PZ_CA1696576_L,1,calvin klein male black boxer ca1696576,Cikkszám: BL_PZ_CA1696576_L,"calvin klein men's underpants with red edge brand name inscription in box 3 pcs, boxer",boxer,CALVIN KLEIN,,L,L,black,Men,100% cotton,,,L,,,,,
BL_PZ_CA1696576_M,1,calvin klein male black boxer ca1696576,Cikkszám: BL_PZ_CA1696576_M,"calvin klein men's underpants with red edge brand name inscription in box 3 pcs, boxer",boxer,CALVIN KLEIN,,M,M,black,Men,100% cotton,,,M,,,,,
BL_PZ_CA1696576_S,1,calvin klein male black boxer ca1696576,Cikkszám: BL_PZ_CA1696576_S,"calvin klein men's underpants with red edge brand name inscription in box 3 pcs, boxer",boxer,CALVIN KLEIN,,S,S,black,Men,100% cotton,,,S,,,,,
BL_PZ_CA1696576_XL,1,calvin klein male black boxer ca1696576,Cikkszám: BL_PZ_CA1696576_XL,"calvin klein men's underpants with red edge brand name inscription in box 3 pcs, boxer",boxer,CALVIN KLEIN,,XL,XL,black,Men,100% cotton,,,XL,,,,,
BL_PZ_CA1840480,3,calvin klein male filter boxer ca1840480,,"calvin klein men's underwear, white edge brand name, 3 pcs, boxer",boxer,CALVIN KLEIN,,,,gray,Men,100% cotton,,,,,,,,
BL_PZ_CA1840480_L,1,calvin klein male filter boxer ca1840480,Cikkszám: BL_PZ_CA1840480_L,"calvin klein men's underwear, white edge brand name, 3 pcs, boxer",boxer,CALVIN KLEIN,,L,L,gray,Men,100% cotton,,,L,,,,,
BL_PZ_CA1840480_M,1,calvin klein male filter boxer ca1840480,Cikkszám: BL_PZ_CA1840480_M,"calvin klein men's underwear, white edge brand name, 3 pcs, boxer",boxer,CALVIN KLEIN,,M,M,gray,Men,100% cotton,,,M,,,,,
BL_PZ_CA1840480_S,1,calvin klein male filter boxer ca1840480,Cikkszám: BL_PZ_CA1840480_S,"calvin klein men's underwear, white edge brand name, 3 pcs, boxer",boxer,CALVIN KLEIN,,S,S,gray,Men,100% cotton,,,S,,,,,
BL_PZ_CA1840480_XL,1,calvin klein male filter boxer ca1840480,Cikkszám: BL_PZ_CA1840480_XL,"calvin klein men's underwear, white edge brand name, 3 pcs, boxer",boxer,CALVIN KLEIN,,XL,XL,gray,Men,100% cotton,,,XL,,,,,
BL_PZ_CA1841223,3,calvin klein female black set ca1841223,,"calvin klein lingerie, brace without braces and french panties",set,CALVIN KLEIN,,,,black,Women,53% cotton 35% other 12% elastane,,,,,,,,
BL_PZ_CA1841223_L,1,calvin klein female black set ca1841223,Cikkszám: BL_PZ_CA1841223_L,"calvin klein lingerie, brace without braces and french panties",set,CALVIN KLEIN,,L,L,black,Women,53% cotton 35% other 12% elastane,,,L,,,,,
BL_PZ_CA1841223_M,1,calvin klein female black set ca1841223,Cikkszám: BL_PZ_CA1841223_M,"calvin klein lingerie, brace without braces and french panties",set,CALVIN KLEIN,,M,M,black,Women,53% cotton 35% other 12% elastane,,,M,,,,,
BL_PZ_CA1841223_S,1,calvin klein female black set ca1841223,Cikkszám: BL_PZ_CA1841223_S,"calvin klein lingerie, brace without braces and french panties",set,CALVIN KLEIN,,S,S,black,Women,53% cotton 35% other 12% elastane,,,S,,,,,
BL_PZ_CA1841223_XL,1,calvin klein female black set ca1841223,Cikkszám: BL_PZ_CA1841223_XL,"calvin klein lingerie, brace without braces and french panties",set,CALVIN KLEIN,,XL,XL,black,Women,53% cotton 35% other 12% elastane,,,XL,,,,,
BL_PZ_CA1841223_XS,1,calvin klein female black set ca1841223,Cikkszám: BL_PZ_CA1841223_XS,"calvin klein lingerie, brace without braces and french panties",set,CALVIN KLEIN,,XS,XS,black,Women,53% cotton 35% other 12% elastane,,,XS,,,,,
BL_PZ_CA1965607,3,"calvin klein female white, gray, black thong ca1965607",,calvin klein female thong 3db,thong,CALVIN KLEIN,,,,"white, filter, black",Women,93% cotton 7% lycra,,,,,,,,
BL_PZ_CA1965607_L,1,"calvin klein female white, gray, black thong ca1965607",Cikkszám: BL_PZ_CA1965607_L,calvin klein female thong 3db,thong,CALVIN KLEIN,,L,L,"white, filter, black",Women,93% cotton 7% lycra,,,L,,,,,
BL_PZ_CA1965607_M,1,"calvin klein female white, gray, black thong ca1965607",Cikkszám: BL_PZ_CA1965607_M,calvin klein female thong 3db,thong,CALVIN KLEIN,,M,M,"white, filter, black",Women,93% cotton 7% lycra,,,M,,,,,
BL_PZ_CA1965607_S,1,"calvin klein female white, gray, black thong ca1965607",Cikkszám: BL_PZ_CA1965607_S,calvin klein female thong 3db,thong,CALVIN KLEIN,,S,S,"white, filter, black",Women,93% cotton 7% lycra,,,S,,,,,
BL_PZ_CA1965607_XL,1,"calvin klein female white, gray, black thong ca1965607",Cikkszám: BL_PZ_CA1965607_XL,calvin klein female thong 3db,thong,CALVIN KLEIN,,XL,XL,"white, filter, black",Women,93% cotton 7% lycra,,,XL,,,,,
BL_PZ_CA1965607_XS,1,"calvin klein female white, gray, black thong ca1965607",Cikkszám: BL_PZ_CA1965607_XS,calvin klein female thong 3db,thong,CALVIN KLEIN,,XS,XS,"white, filter, black",Women,93% cotton 7% lycra,,,XS,,,,,
BL_PZ_CA2195552,3,calvin klein female white thong ca2195552,,calvin klein female thong 3db,thong,CALVIN KLEIN,,,,white,Women,93% cotton 7% lycra,,,,,,,,
BL_PZ_CA2195552_L,1,calvin klein female white thong ca2195552,Cikkszám: BL_PZ_CA2195552_L,calvin klein female thong 3db,thong,CALVIN KLEIN,,L,L,white,Women,93% cotton 7% lycra,,,L,,,,,
BL_PZ_CA2195552_M,1,calvin klein female white thong ca2195552,Cikkszám: BL_PZ_CA2195552_M,calvin klein female thong 3db,thong,CALVIN KLEIN,,M,M,white,Women,93% cotton 7% lycra,,,M,,,,,
BL_PZ_CA2195552_S,1,calvin klein female white thong ca2195552,Cikkszám: BL_PZ_CA2195552_S,calvin klein female thong 3db,thong,CALVIN KLEIN,,S,S,white,Women,93% cotton 7% lycra,,,S,,,,,
BL_PZ_CA2195552_XL,1,calvin klein female white thong ca2195552,Cikkszám: BL_PZ_CA2195552_XL,calvin klein female thong 3db,thong,CALVIN KLEIN,,XL,XL,white,Women,93% cotton 7% lycra,,,XL,,,,,
BL_PZ_CA2195552_XS,1,calvin klein female white thong ca2195552,Cikkszám: BL_PZ_CA2195552_XS,calvin klein female thong 3db,thong,CALVIN KLEIN,,XS,XS,white,Women,93% cotton 7% lycra,,,XS,,,,,
BL_PZ_CA2555912,3,"calvin klein male black, burgundy, filter boxer ca2555912",,"calvin klein men's underwear, brand name inscription, 3 pcs, boxer",boxer,CALVIN KLEIN,,,,"black, burgundy, gray",Men,100% cotton,,,,,,,,
BL_PZ_CA2555912_XL,1,"calvin klein male black, burgundy, filter boxer ca2555912",Cikkszám: BL_PZ_CA2555912_XL,"calvin klein men's underwear, brand name inscription, 3 pcs, boxer",boxer,CALVIN KLEIN,,XL,XL,"black, burgundy, gray",Men,100% cotton,,,XL,,,,,
BL_PZ_CA2825006,3,"calvin klein female black, white french panties ca2825006",,calvin klein female french panties 3db,French knickers,CALVIN KLEIN,,,,"black, white, gray",Women,93% cotton 7% lycra,,,,,,,,
BL_PZ_CA2825006_L,1,"calvin klein female black, white french panties ca2825006",Cikkszám: BL_PZ_CA2825006_L,calvin klein female french panties 3db,French knickers,CALVIN KLEIN,,L,L,"black, white, gray",Women,93% cotton 7% lycra,,,L,,,,,
BL_PZ_CA2825006_M,1,"calvin klein female black, white french panties ca2825006",Cikkszám: BL_PZ_CA2825006_M,calvin klein female french panties 3db,French knickers,CALVIN KLEIN,,M,M,"black, white, gray",Women,93% cotton 7% lycra,,,M,,,,,
BL_PZ_CA2825006_S,1,"calvin klein female black, white french panties ca2825006",Cikkszám: BL_PZ_CA2825006_S,calvin klein female french panties 3db,French knickers,CALVIN KLEIN,,S,S,"black, white, gray",Women,93% cotton 7% lycra,,,S,,,,,
BL_PZ_CA2825006_XL,1,"calvin klein female black, white french panties ca2825006",Cikkszám: BL_PZ_CA2825006_XL,calvin klein female french panties 3db,French knickers,CALVIN KLEIN,,XL,XL,"black, white, gray",Women,93% cotton 7% lycra,,,XL,,,,,
BL_PZ_CA2825006_XS,1,"calvin klein female black, white french panties ca2825006",Cikkszám: BL_PZ_CA2825006_XS,calvin klein female french panties 3db,French knickers,CALVIN KLEIN,,XS,XS,"black, white, gray",Women,93% cotton 7% lycra,,,XS,,,,,
BL_PZ_CA3081175,3,calvin klein man with red boxer ca3081175,,"calvin klein men's underwear, brand name inscription, 3 pcs, boxer",boxer,CALVIN KLEIN,,,,red,Men,100% cotton,,,,,,,,
BL_PZ_CA3081175_L,1,calvin klein man with red boxer ca3081175,Cikkszám: BL_PZ_CA3081175_L,"calvin klein men's underwear, brand name inscription, 3 pcs, boxer",boxer,CALVIN KLEIN,,L,L,red,Men,100% cotton,,,L,,,,,
BL_PZ_CA3081175_M,1,calvin klein man with red boxer ca3081175,Cikkszám: BL_PZ_CA3081175_M,"calvin klein men's underwear, brand name inscription, 3 pcs, boxer",boxer,CALVIN KLEIN,,M,M,red,Men,100% cotton,,,M,,,,,
BL_PZ_CA3081175_S,1,calvin klein man with red boxer ca3081175,Cikkszám: BL_PZ_CA3081175_S,"calvin klein men's underwear, brand name inscription, 3 pcs, boxer",boxer,CALVIN KLEIN,,S,S,red,Men,100% cotton,,,S,,,,,
BL_PZ_CA3293077,3,calvin klein man with red boxer ca3293077,,"calvin klein men's underwear, brand name inscription, 3 pcs, boxer",boxer,CALVIN KLEIN,,,,red,Men,100% cotton,,,,,,,,
BL_PZ_CA3293077_L,1,calvin klein man with red boxer ca3293077,Cikkszám: BL_PZ_CA3293077_L,"calvin klein men's underwear, brand name inscription, 3 pcs, boxer",boxer,CALVIN KLEIN,,L,L,red,Men,100% cotton,,,L,,,,,
BL_PZ_CA3293077_M,1,calvin klein man with red boxer ca3293077,Cikkszám: BL_PZ_CA3293077_M,"calvin klein men's underwear, brand name inscription, 3 pcs, boxer",boxer,CALVIN KLEIN,,M,M,red,Men,100% cotton,,,M,,,,,
BL_PZ_CA3293077_S,1,calvin klein man with red boxer ca3293077,Cikkszám: BL_PZ_CA3293077_S,"calvin klein men's underwear, brand name inscription, 3 pcs, boxer",boxer,CALVIN KLEIN,,S,S,red,Men,100% cotton,,,S,,,,,
BL_PZ_CA3293077_XL,1,calvin klein man with red boxer ca3293077,Cikkszám: BL_PZ_CA3293077_XL,"calvin klein men's underwear, brand name inscription, 3 pcs, boxer",boxer,CALVIN KLEIN,,XL,XL,red,Men,100% cotton,,,XL,,,,,
BL_PZ_CA3629247,3,calvin klein female black french panties ca3629247,,calvin klein female french panties 3db,French knickers,CALVIN KLEIN,,,,black,Women,93% cotton 7% lycra,,,,,,,,
BL_PZ_CA3629247_L,1,calvin klein female black french panties ca3629247,Cikkszám: BL_PZ_CA3629247_L,calvin klein female french panties 3db,French knickers,CALVIN KLEIN,,L,L,black,Women,93% cotton 7% lycra,,,L,,,,,
BL_PZ_CA3629247_M,1,calvin klein female black french panties ca3629247,Cikkszám: BL_PZ_CA3629247_M,calvin klein female french panties 3db,French knickers,CALVIN KLEIN,,M,M,black,Women,93% cotton 7% lycra,,,M,,,,,
BL_PZ_CA3629247_S,1,calvin klein female black french panties ca3629247,Cikkszám: BL_PZ_CA3629247_S,calvin klein female french panties 3db,French knickers,CALVIN KLEIN,,S,S,black,Women,93% cotton 7% lycra,,,S,,,,,
BL_PZ_CA3629247_XL,1,calvin klein female black french panties ca3629247,Cikkszám: BL_PZ_CA3629247_XL,calvin klein female french panties 3db,French knickers,CALVIN KLEIN,,XL,XL,black,Women,93% cotton 7% lycra,,,XL,,,,,
BL_PZ_CA3629247_XS,1,calvin klein female black french panties ca3629247,Cikkszám: BL_PZ_CA3629247_XS,calvin klein female french panties 3db,French knickers,CALVIN KLEIN,,XS,XS,black,Women,93% cotton 7% lycra,,,XS,,,,,
BL_PZ_CA3886784,3,calvin klein female black french panties ca3886784,,calvin klein female french panties 3db,French knickers,CALVIN KLEIN,,,,black,Women,93% cotton 7% lycra,,,,,,,,
BL_PZ_CA3886784_L,1,calvin klein female black french panties ca3886784,Cikkszám: BL_PZ_CA3886784_L,calvin klein female french panties 3db,French knickers,CALVIN KLEIN,,L,L,black,Women,93% cotton 7% lycra,,,L,,,,,
BL_PZ_CA3886784_M,1,calvin klein female black french panties ca3886784,Cikkszám: BL_PZ_CA3886784_M,calvin klein female french panties 3db,French knickers,CALVIN KLEIN,,M,M,black,Women,93% cotton 7% lycra,,,M,,,,,
BL_PZ_CA3886784_S,1,calvin klein female black french panties ca3886784,Cikkszám: BL_PZ_CA3886784_S,calvin klein female french panties 3db,French knickers,CALVIN KLEIN,,S,S,black,Women,93% cotton 7% lycra,,,S,,,,,
BL_PZ_CA3886784_XL,1,calvin klein female black french panties ca3886784,Cikkszám: BL_PZ_CA3886784_XL,calvin klein female french panties 3db,French knickers,CALVIN KLEIN,,XL,XL,black,Women,93% cotton 7% lycra,,,XL,,,,,
BL_PZ_CA3886784_XS,1,calvin klein female black french panties ca3886784,Cikkszám: BL_PZ_CA3886784_XS,calvin klein female french panties 3db,French knickers,CALVIN KLEIN,,XS,XS,black,Women,93% cotton 7% lycra,,,XS,,,,,
BL_PZ_CA4189898,3,calvin klein female white french panties ca4189898,,calvin klein female french panties 3db,French knickers,CALVIN KLEIN,,,,white,Women,93% cotton 7% lycra,,,,,,,,
BL_PZ_CA4189898_L,1,calvin klein female white french panties ca4189898,Cikkszám: BL_PZ_CA4189898_L,calvin klein female french panties 3db,French knickers,CALVIN KLEIN,,L,L,white,Women,93% cotton 7% lycra,,,L,,,,,
BL_PZ_CA4189898_M,1,calvin klein female white french panties ca4189898,Cikkszám: BL_PZ_CA4189898_M,calvin klein female french panties 3db,French knickers,CALVIN KLEIN,,M,M,white,Women,93% cotton 7% lycra,,,M,,,,,
BL_PZ_CA4189898_S,1,calvin klein female white french panties ca4189898,Cikkszám: BL_PZ_CA4189898_S,calvin klein female french panties 3db,French knickers,CALVIN KLEIN,,S,S,white,Women,93% cotton 7% lycra,,,S,,,,,
BL_PZ_CA4189898_XL,1,calvin klein female white french panties ca4189898,Cikkszám: BL_PZ_CA4189898_XL,calvin klein female french panties 3db,French knickers,CALVIN KLEIN,,XL,XL,white,Women,93% cotton 7% lycra,,,XL,,,,,
BL_PZ_CA4189898_XS,1,calvin klein female white french panties ca4189898,Cikkszám: BL_PZ_CA4189898_XS,calvin klein female french panties 3db,French knickers,CALVIN KLEIN,,XS,XS,white,Women,93% cotton 7% lycra,,,XS,,,,,
BL_PZ_CA4200805,3,calvin klein male black boxer ca4200805,,"calvin klein men's underwear, brand name inscription, 3 pcs, boxer",boxer,CALVIN KLEIN,,,,black,Men,100% cotton,,,,,,,,
BL_PZ_CA4200805_L,1,calvin klein male black boxer ca4200805,Cikkszám: BL_PZ_CA4200805_L,"calvin klein men's underwear, brand name inscription, 3 pcs, boxer",boxer,CALVIN KLEIN,,L,L,black,Men,100% cotton,,,L,,,,,
BL_PZ_CA4200805_M,1,calvin klein male black boxer ca4200805,Cikkszám: BL_PZ_CA4200805_M,"calvin klein men's underwear, brand name inscription, 3 pcs, boxer",boxer,CALVIN KLEIN,,M,M,black,Men,100% cotton,,,M,,,,,
BL_PZ_CA4200805_S,1,calvin klein male black boxer ca4200805,Cikkszám: BL_PZ_CA4200805_S,"calvin klein men's underwear, brand name inscription, 3 pcs, boxer",boxer,CALVIN KLEIN,,S,S,black,Men,100% cotton,,,S,,,,,
BL_PZ_CA4200805_XL,1,calvin klein male black boxer ca4200805,Cikkszám: BL_PZ_CA4200805_XL,"calvin klein men's underwear, brand name inscription, 3 pcs, boxer",boxer,CALVIN KLEIN,,XL,XL,black,Men,100% cotton,,,XL,,,,,
BL_PZ_CA4348018,3,calvin klein female red thong ca4348018,,calvin klein female thong 3db,thong,CALVIN KLEIN,,,,red,Women,93% cotton 7% lycra,,,,,,,,
BL_PZ_CA4348018_L,1,calvin klein female red thong ca4348018,Cikkszám: BL_PZ_CA4348018_L,calvin klein female thong 3db,thong,CALVIN KLEIN,,L,L,red,Women,93% cotton 7% lycra,,,L,,,,,
BL_PZ_CA4348018_M,1,calvin klein female red thong ca4348018,Cikkszám: BL_PZ_CA4348018_M,calvin klein female thong 3db,thong,CALVIN KLEIN,,M,M,red,Women,93% cotton 7% lycra,,,M,,,,,
BL_PZ_CA4348018_S,1,calvin klein female red thong ca4348018,Cikkszám: BL_PZ_CA4348018_S,calvin klein female thong 3db,thong,CALVIN KLEIN,,S,S,red,Women,93% cotton 7% lycra,,,S,,,,,
BL_PZ_CA4348018_XL,1,calvin klein female red thong ca4348018,Cikkszám: BL_PZ_CA4348018_XL,calvin klein female thong 3db,thong,CALVIN KLEIN,,XL,XL,red,Women,93% cotton 7% lycra,,,XL,,,,,
BL_PZ_CA4348018_XS,1,calvin klein female red thong ca4348018,Cikkszám: BL_PZ_CA4348018_XS,calvin klein female thong 3db,thong,CALVIN KLEIN,,XS,XS,red,Women,93% cotton 7% lycra,,,XS,,,,,
BL_PZ_CA5668853,3,calvin klein female red french panties ca5668853,,calvin klein female french panties 3db,French knickers,CALVIN KLEIN,,,,red,Women,93% cotton 7% lycra,,,,,,,,
BL_PZ_CA5668853_L,1,calvin klein female red french panties ca5668853,Cikkszám: BL_PZ_CA5668853_L,calvin klein female french panties 3db,French knickers,CALVIN KLEIN,,L,L,red,Women,93% cotton 7% lycra,,,L,,,,,
